aNavMode Benchmark Report
Date:   2026-03-24 15:49
Device: Topicon T865
Origin: 49.29228, 8.64431
Run:    5s per config, 2s settle, 48 / 48 configs

#   threads cache  ovrd  tile zoom | avgFPS  minFPS  jank  jank%
------------------------------------------------------------------------
1   4       2x     1.2   512  17   | 11.2    8.7     55    98.2%
2   4       1x     1.2   512  17   | 10.8    7.3     53    98.1%
3   2       2x     1.2   512  17   | 10.6    8.6     52    98.1%
4   4       2x     1.0   512  17   | 10.4    8.7     51    98.1%
5   2       2x     1.0   512  17   | 10.2    8.0     50    98.0%
6   4       1x     1.2   256  17   | 10.0    7.5     49    98.0%
7   2       1x     1.2   512  17   | 10.0    7.5     49    98.0%
8   1       1x     1.0   256  14   | 9.8     7.1     48    98.0%
9   1       2x     1.2   256  14   | 9.8     8.0     48    98.0%
10  1       1x     1.0   512  14   | 9.8     8.7     48    98.0%
11  1       2x     1.0   512  14   | 9.8     7.4     48    98.0%
12  4       2x     1.2   256  17   | 9.8     6.9     48    98.0%
13  1       2x     1.0   512  17   | 9.8     8.6     48    98.0%
14  1       1x     1.2   512  17   | 9.8     8.8     48    98.0%
15  1       2x     1.2   512  17   | 9.8     9.1     48    98.0%
16  1       1x     1.2   512  14   | 9.6     7.5     47    97.9%
17  1       2x     1.2   512  14   | 9.6     7.5     47    97.9%
18  1       1x     1.0   256  17   | 9.6     8.6     47    97.9%
19  1       1x     1.2   256  17   | 9.6     9.2     47    97.9%
20  2       1x     1.2   256  17   | 9.6     7.4     47    97.9%
21  1       1x     1.0   512  17   | 9.6     8.8     47    97.9%
22  1       1x     1.2   256  14   | 9.4     8.8     46    97.9%
23  4       2x     1.0   256  17   | 9.4     6.6     46    97.9%
24  1       2x     1.2   256  17   | 9.2     7.6     45    97.8%
25  2       2x     1.2   256  17   | 9.2     6.9     45    97.8%
26  2       1x     1.0   512  17   | 8.8     6.6     43    97.7%
27  2       1x     1.0   256  14   | 8.6     7.2     42    97.7%
28  1       2x     1.0   256  14   | 8.6     7.6     42    97.7%
29  2       2x     1.0   512  14   | 8.6     7.0     42    97.7%
30  4       1x     1.0   512  17   | 8.6     7.6     42    97.7%
31  4       2x     1.0   512  14   | 8.4     6.1     41    97.6%
32  4       2x     1.2   512  14   | 8.4     5.6     41    97.6%
33  2       2x     1.0   256  14   | 8.2     7.1     40    97.6%
34  2       1x     1.0   256  17   | 8.2     6.7     40    97.6%
35  4       1x     1.0   256  17   | 8.2     6.3     40    97.6%
36  2       1x     1.2   256  14   | 8.0     6.6     39    97.5%
37  2       1x     1.0   512  14   | 8.0     6.6     39    97.5%
38  2       1x     1.2   512  14   | 8.0     6.0     39    97.5%
39  2       2x     1.2   256  14   | 7.6     6.6     37    97.4%
40  4       1x     1.0   512  14   | 7.6     6.1     37    97.4%
41  2       2x     1.2   512  14   | 7.6     6.2     37    97.4%
42  2       2x     1.0   256  17   | 7.4     6.0     36    97.3%
43  1       2x     1.0   256  17   | 7.2     6.7     35    97.2%
44  4       2x     1.0   256  14   | 6.8     5.9     33    97.1%
45  4       1x     1.2   256  14   | 6.8     5.4     33    97.1%
46  4       2x     1.2   256  14   | 6.8     6.0     33    97.1%
47  4       1x     1.2   512  14   | 6.8     3.5     33    97.1%
48  4       1x     1.0   256  14   | 6.6     5.5     32    97.0%

Best: threads=4, cache=2x, overdraw=1.2, tileSize=512, zoom=17 → 11.2 avg FPS
