aNavMode Benchmark Report — Round 2
Date:   2026-03-24 16:24
Device: Topicon T865
Origin: 49.33199, 8.64277
Run:    5s per config, 2s settle, 38 configs

#   threads cache  ovrd  tile zoom fps   | avgFPS  minFPS  jank  jank%
------------------------------------------------------------------------------
1   4       2x     1.2   512  17   max   | 15.6    12.0    77    98.7%
2   8       2x     1.2   1024 17   max   | 15.6    4.6     77    98.7%
3   6       2x     1.2   512  17   30    | 15.2    4.3     75    98.7%
4   4       2x     1.2   1024 17   max   | 14.8    12.0    73    98.6%
5   6       2x     1.2   768  17   30    | 14.6    12.0    72    98.6%
6   6       2x     1.2   512  17   max   | 14.4    4.3     71    98.6%
7   6       2x     1.2   1024 17   max   | 14.4    12.0    71    98.6%
8   4       2x     1.2   768  17   max   | 14.2    12.0    70    98.6%
9   8       2x     1.2   768  17   max   | 14.2    12.0    70    98.6%
10  8       2x     1.2   512  17   30    | 14.2    4.6     70    98.6%
11  8       2x     1.2   768  17   30    | 14.0    8.6     69    98.6%
12  4       2x     1.2   512  17   30    | 13.8    10.0    68    98.6%
13  4       2x     1.2   768  17   30    | 13.8    8.6     68    98.6%
14  8       2x     1.2   512  17   max   | 13.6    8.6     67    98.5%
15  6       2x     1.2   768  17   max   | 13.6    7.5     67    98.5%
16  4       2x     1.2   1024 17   30    | 12.6    7.5     62    98.4%
17  8       2x     1.2   1024 17   30    | 12.4    12.0    61    98.4%
18  4       2x     1.5   512  17   max   | 11.0    8.6     54    98.2%
19  1       2x     1.2   768  14   30    | 10.4    8.6     51    98.1%
20  2       2x     1.2   768  14   30    | 10.2    7.5     50    98.0%
21  6       2x     1.2   1024 17   30    | 10.0    7.5     49    98.0%
22  1       2x     1.2   768  14   max   | 10.0    8.6     49    98.0%
23  4       2x     2.0   512  17   max   | 9.6     7.5     47    97.9%
24  2       2x     1.2   512  14   max   | 9.2     7.5     45    97.8%
25  2       2x     1.2   768  14   max   | 9.2     6.7     45    97.8%
26  1       2x     1.2   512  14   30    | 9.2     7.5     45    97.8%
27  1       2x     1.2   512  14   max   | 9.0     7.5     44    97.8%
28  1       2x     1.2   256  14   30    | 9.0     7.5     44    97.8%
29  2       2x     1.2   512  14   30    | 9.0     7.5     44    97.8%
30  1       2x     1.2   256  14   max   | 8.6     6.7     42    97.7%
31  4       2x     1.2   512  17   max   | 8.4     6.0     41    97.6%
32  2       2x     1.2   256  14   30    | 8.2     7.5     40    97.6%
33  4       2x     2.0   512  17   30    | 7.6     5.5     37    97.4%
34  4       2x     3.0   512  17   max   | 7.4     5.5     36    97.3%
35  4       2x     1.2   512  17   30    | 7.4     6.0     36    97.3%
36  4       2x     3.0   512  17   30    | 7.4     6.0     36    97.3%
37  4       2x     1.5   512  17   30    | 7.2     5.5     35    97.2%
38  2       2x     1.2   256  14   max   | 6.8     5.5     33    97.1%

Best: threads=4, cache=2x, overdraw=1.2, tileSize=512, zoom=17, fps=max → 15.6 avg FPS
